Cryptosporidium parvum
Giardia lamblia
Giardia intestinalis
Entamoeba histolytica
Toxoplasma gondii
Naegleria fowleri
Balamuthia mandrillaris
Acanthamoeba castellanii
Blastocystis hominis
Trypanosoma cruzi
Trypanosoma brucei
Babesia microti
Plasmodium falciparum
Plasmodium vivax
Plasmodium ovale
Plasmodium malariae
Trichomonas vaginalis
Leishmania braziliensis
Leishmania infantum
Leishmania Mexicana
Leishmania major
Leishmania tropica
Leishmania donovani
Cyclospora cayatanensis
Sappinia diploidea
Acanthamoeba astronyxis
Acanthamoeba keratitis
Acanthamoeba byersi
Acanthamoeba culbertsoni
Acanthamoeba hatchetti
Acanthamoeba lugdunensis
Acanthamoeba palestinensis
Acanthamoeba polyphaga
Acanthamoeba quina
Acanthamoeba rhysodes
Acanthamoeba divionensis
Acanthamoeba lenticulata
